date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:13	84249/84249	---M--	200	added ('OK')	application/javascript	date:Sat,%2007%20Mar%202015%2011:13:56%20GMT	https://frix.themes95.com/js/jquery.min.js	frix.themes95.com/js/jquery.min.js	(from https://frix.themes95.com/)
14:59:14	8097/8097	---M--	200	added ('OK')	application/javascript	date:Mon,%2008%20Jul%202013%2005:04:36%20GMT	https://frix.themes95.com/js/jquery.easing.1.3.js	frix.themes95.com/js/jquery.easing.1.3.js	(from https://frix.themes95.com/)
14:59:14	68529/68529	---M--	200	added ('OK')	application/javascript	date:Sun,%2031%20May%202015%2011:35:58%20GMT	https://frix.themes95.com/js/bootstrap.js	frix.themes95.com/js/bootstrap.js	(from https://frix.themes95.com/)
14:59:14	1203/1203	---M--	200	added ('OK')	application/javascript	date:Sun,%2024%20May%202015%2014:43:22%20GMT	https://frix.themes95.com/js/jquery.viewport.mini.js	frix.themes95.com/js/jquery.viewport.mini.js	(from https://frix.themes95.com/)
14:59:15	2648/2648	---M--	200	added ('OK')	application/javascript	date:Sun,%2031%20May%202015%2014:08:24%20GMT	https://frix.themes95.com/js/smooth-scroll.js	frix.themes95.com/js/smooth-scroll.js	(from https://frix.themes95.com/)
14:59:16	2718/2718	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Aug%202016%2016:27:16%20GMT	https://frix.themes95.com/js/jquery.appear.js	frix.themes95.com/js/jquery.appear.js	(from https://frix.themes95.com/)
14:59:17	14242/14242	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Aug%202016%2016:27:48%20GMT	https://frix.themes95.com/js/page-scroll.js	frix.themes95.com/js/page-scroll.js	(from https://frix.themes95.com/)
14:59:18	1891/1891	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Aug%202016%2016:27:34%20GMT	https://frix.themes95.com/js/jquery.parallax-1.1.3.js	frix.themes95.com/js/jquery.parallax-1.1.3.js	(from https://frix.themes95.com/)
14:59:19	7154/7154	---M--	200	added ('OK')	application/javascript	date:Thu,%2021%20May%202015%2009:01:22%20GMT	https://frix.themes95.com/js/wow.min.js	frix.themes95.com/js/wow.min.js	(from https://frix.themes95.com/)
14:59:20	3482/3482	---M--	200	added ('OK')	application/javascript	date:Wed,%2017%20Aug%202016%2016:27:22%20GMT	https://frix.themes95.com/js/jquery.countTo.js	frix.themes95.com/js/jquery.countTo.js	(from https://frix.themes95.com/)
